Mes;Provincia;Municipio;Habitantes2021;Paro.Agricultura;Paro.Industria;Paro.Construcción;Paro.Servicios;ParoTotal;ParoMayoritario;Porcentaje_Paro_Municipio
2;Alicante/Alacant;Beneixama;1707;19;18;3;44;88;Servicios;5,16
3;Alicante/Alacant;Beneixama;1707;23;16;3;45;91;Servicios;5,33
4;Alicante/Alacant;Beneixama;1707;16;15;3;45;84;Servicios;4,92
5;Alicante/Alacant;Beneixama;1707;12;16;4;44;80;Servicios;4,69
6;Alicante/Alacant;Beneixama;1707;14;18;1;47;84;Servicios;4,92
7;Alicante/Alacant;Beneixama;1707;21;18;2;54;100;Servicios;5,86
8;Alicante/Alacant;Beneixama;1707;21;16;2;55;99;Servicios;5,8
9;Alicante/Alacant;Beneixama;1707;19;11;0;49;83;Servicios;4,86
10;Alicante/Alacant;Beneixama;1707;18;13;1;52;89;Servicios;5,21
11;Alicante/Alacant;Beneixama;1707;19;14;1;44;84;Servicios;4,92
12;Alicante/Alacant;Beneixama;1707;10;14;1;41;72;Servicios;4,22
1;Alicante/Alacant;Benejúzar;5453;22;88;95;320;564;Servicios;10,34
2;Alicante/Alacant;Benejúzar;5453;25;88;94;317;561;Servicios;10,29
3;Alicante/Alacant;Benejúzar;5453;25;82;87;311;541;Servicios;9,92
4;Alicante/Alacant;Benejúzar;5453;26;81;84;308;537;Servicios;9,85
5;Alicante/Alacant;Benejúzar;5453;24;84;84;294;523;Servicios;9,59
6;Alicante/Alacant;Benejúzar;5453;28;86;84;291;527;Servicios;9,66
7;Alicante/Alacant;Benejúzar;5453;21;83;85;291;518;Servicios;9,5
8;Alicante/Alacant;Benejúzar;5453;23;89;91;305;549;Servicios;10,07
9;Alicante/Alacant;Benejúzar;5453;22;91;84;305;543;Servicios;9,96
10;Alicante/Alacant;Benejúzar;5453;22;95;84;307;551;Servicios;10,1
11;Alicante/Alacant;Benejúzar;5453;22;84;80;273;499;Servicios;9,15
12;Alicante/Alacant;Benejúzar;5453;25;82;81;265;492;Servicios;9,02
1;Alicante/Alacant;Benferri;1958;7;27;22;110;173;Servicios;8,84
2;Alicante/Alacant;Benferri;1958;8;26;20;111;172;Servicios;8,78
3;Alicante/Alacant;Benferri;1958;8;23;19;112;169;Servicios;8,63
4;Alicante/Alacant;Benferri;1958;7;24;18;107;164;Servicios;8,38
5;Alicante/Alacant;Benferri;1958;8;23;16;108;163;Servicios;8,32
6;Alicante/Alacant;Benferri;1958;7;22;12;108;157;Servicios;8,02
7;Alicante/Alacant;Benferri;1958;8;22;12;110;161;Servicios;8,22
8;Alicante/Alacant;Benferri;1958;10;20;17;108;165;Servicios;8,43
9;Alicante/Alacant;Benferri;1958;10;18;16;103;158;Servicios;8,07
10;Alicante/Alacant;Benferri;1958;10;15;15;100;152;Servicios;7,76
11;Alicante/Alacant;Benferri;1958;10;14;16;96;145;Servicios;7,41
12;Alicante/Alacant;Benferri;1958;11;12;14;99;146;Servicios;7,46
1;Alicante/Alacant;Beniarbeig;2227;2;11;19;110;149;Servicios;6,69
2;Alicante/Alacant;Beniarbeig;2227;2;13;21;119;162;Servicios;7,27
3;Alicante/Alacant;Beniarbeig;2227;2;11;21;109;150;Servicios;6,74
4;Alicante/Alacant;Beniarbeig;2227;2;10;18;97;134;Servicios;6,02
5;Alicante/Alacant;Beniarbeig;2227;3;8;19;89;125;Servicios;5,61
6;Alicante/Alacant;Beniarbeig;2227;3;8;19;86;122;Servicios;5,48
